Start Time,End Time,Hour,Power Generation KV
2023-05-31T02:06:18.263Z,2023-05-31T03:06:18.263Z,0,0
2023-05-31T03:06:18.263Z,2023-05-31T04:06:18.263Z,1,0
2023-05-31T04:06:18.263Z,2023-05-31T05:06:18.263Z,2,0
2023-05-31T05:06:18.263Z,2023-05-31T06:06:18.263Z,3,1.6800000000000002
2023-05-31T06:06:18.263Z,2023-05-31T07:06:18.263Z,4,26.400000000000002
2023-05-31T07:06:18.263Z,2023-05-31T08:06:18.263Z,5,70.56
2023-05-31T08:06:18.263Z,2023-05-31T09:06:18.263Z,6,117.12
2023-05-31T09:06:18.263Z,2023-05-31T10:06:18.263Z,7,158.88
2023-05-31T10:06:18.263Z,2023-05-31T11:06:18.263Z,8,190.8
2023-05-31T11:06:18.263Z,2023-05-31T12:06:18.263Z,9,210.48
2023-05-31T12:06:18.263Z,2023-05-31T13:06:18.263Z,10,216.72000000000003
2023-05-31T13:06:18.263Z,2023-05-31T14:06:18.263Z,11,207.84
2023-05-31T14:06:18.263Z,2023-05-31T15:06:18.263Z,12,185.04
2023-05-31T15:06:18.263Z,2023-05-31T16:06:18.263Z,13,151.2
2023-05-31T16:06:18.263Z,2023-05-31T17:06:18.263Z,14,109.44000000000001
2023-05-31T17:06:18.263Z,2023-05-31T18:06:18.263Z,15,61.44
2023-05-31T18:06:18.263Z,2023-05-31T19:06:18.263Z,16,16.560000000000002
2023-05-31T19:06:18.263Z,2023-05-31T20:06:18.263Z,17,0.24
2023-05-31T20:06:18.263Z,2023-05-31T21:06:18.263Z,18,0
2023-05-31T21:06:18.263Z,2023-05-31T22:06:18.263Z,19,0
2023-05-31T22:06:18.263Z,2023-05-31T23:06:18.263Z,20,0
2023-05-31T23:06:18.263Z,2023-06-01T00:06:18.263Z,21,0
2023-06-01T00:06:18.263Z,2023-06-01T01:06:18.263Z,22,0
2023-06-01T01:06:18.263Z,2023-06-01T02:06:18.263Z,23,0
2023-06-01T02:06:18.263Z,2023-06-01T03:06:18.263Z,24,0
2023-06-01T03:06:18.263Z,2023-06-01T04:06:18.263Z,25,0
2023-06-01T04:06:18.263Z,2023-06-01T05:06:18.263Z,26,0
2023-06-01T05:06:18.263Z,2023-06-01T06:06:18.263Z,27,1.6800000000000002
2023-06-01T06:06:18.263Z,2023-06-01T07:06:18.263Z,28,26.160000000000004
2023-06-01T07:06:18.263Z,2023-06-01T08:06:18.263Z,29,69.6
2023-06-01T08:06:18.263Z,2023-06-01T09:06:18.263Z,30,115.44
2023-06-01T09:06:18.263Z,2023-06-01T10:06:18.263Z,31,155.76
2023-06-01T10:06:18.263Z,2023-06-01T11:06:18.263Z,32,186.72
2023-06-01T11:06:18.263Z,2023-06-01T12:06:18.263Z,33,205.92000000000002
2023-06-01T12:06:18.263Z,2023-06-01T13:06:18.263Z,34,211.68
2023-06-01T13:06:18.263Z,2023-06-01T14:06:18.263Z,35,203.76
