Start Time,End Time,Hour,Power Generation KV
2023-05-30T23:44:42.180Z,2023-05-31T00:44:42.180Z,0,0
2023-05-31T00:44:42.180Z,2023-05-31T01:44:42.180Z,1,0
2023-05-31T01:44:42.180Z,2023-05-31T02:44:42.180Z,2,0
2023-05-31T02:44:42.180Z,2023-05-31T03:44:42.180Z,3,2.1
2023-05-31T03:44:42.180Z,2023-05-31T04:44:42.180Z,4,39.059999999999995
2023-05-31T04:44:42.180Z,2023-05-31T05:44:42.180Z,5,99.11999999999999
2023-05-31T05:44:42.180Z,2023-05-31T06:44:42.180Z,6,166.32
2023-05-31T06:44:42.180Z,2023-05-31T07:44:42.180Z,7,208.32
2023-05-31T07:44:42.180Z,2023-05-31T08:44:42.180Z,8,256.2
2023-05-31T08:44:42.180Z,2023-05-31T09:44:42.180Z,9,265.44
2023-05-31T09:44:42.180Z,2023-05-31T10:44:42.180Z,10,285.18000000000006
2023-05-31T10:44:42.180Z,2023-05-31T11:44:42.180Z,11,233.10000000000002
2023-05-31T11:44:42.180Z,2023-05-31T12:44:42.180Z,12,175.98
2023-05-31T12:44:42.180Z,2023-05-31T13:44:42.180Z,13,107.94000000000001
2023-05-31T13:44:42.180Z,2023-05-31T14:44:42.180Z,14,42.42
2023-05-31T14:44:42.180Z,2023-05-31T15:44:42.180Z,15,2.1
2023-05-31T15:44:42.180Z,2023-05-31T16:44:42.180Z,16,0
2023-05-31T16:44:42.180Z,2023-05-31T17:44:42.180Z,17,0
2023-05-31T17:44:42.180Z,2023-05-31T18:44:42.180Z,18,0
2023-05-31T18:44:42.180Z,2023-05-31T19:44:42.180Z,19,0
2023-05-31T19:44:42.180Z,2023-05-31T20:44:42.180Z,20,0
2023-05-31T20:44:42.180Z,2023-05-31T21:44:42.180Z,21,0
2023-05-31T21:44:42.180Z,2023-05-31T22:44:42.180Z,22,0
2023-05-31T22:44:42.180Z,2023-05-31T23:44:42.180Z,23,0
2023-05-31T23:44:42.180Z,2023-06-01T00:44:42.180Z,24,0
2023-06-01T00:44:42.180Z,2023-06-01T01:44:42.180Z,25,0
2023-06-01T01:44:42.180Z,2023-06-01T02:44:42.180Z,26,0
2023-06-01T02:44:42.180Z,2023-06-01T03:44:42.180Z,27,2.1
2023-06-01T03:44:42.180Z,2023-06-01T04:44:42.180Z,28,41.16
2023-06-01T04:44:42.180Z,2023-06-01T05:44:42.180Z,29,118.02000000000002
2023-06-01T05:44:42.180Z,2023-06-01T06:44:42.180Z,30,193.62
2023-06-01T06:44:42.180Z,2023-06-01T07:44:42.180Z,31,236.88
2023-06-01T07:44:42.180Z,2023-06-01T08:44:42.180Z,32,271.74
2023-06-01T08:44:42.180Z,2023-06-01T09:44:42.180Z,33,293.15999999999997
2023-06-01T09:44:42.180Z,2023-06-01T10:44:42.180Z,34,281.40000000000003
2023-06-01T10:44:42.180Z,2023-06-01T11:44:42.180Z,35,214.2
2023-06-01T11:44:42.180Z,2023-06-01T12:44:42.180Z,36,132.72
2023-06-01T12:44:42.180Z,2023-06-01T13:44:42.180Z,37,66.36
2023-06-01T13:44:42.180Z,2023-06-01T14:44:42.180Z,38,17.220000000000002
2023-06-01T14:44:42.180Z,2023-06-01T15:44:42.180Z,39,0.42
2023-06-01T15:44:42.180Z,2023-06-01T16:44:42.180Z,40,0
2023-06-01T16:44:42.180Z,2023-06-01T17:44:42.180Z,41,0
2023-06-01T17:44:42.180Z,2023-06-01T18:44:42.180Z,42,0
2023-06-01T18:44:42.180Z,2023-06-01T19:44:42.180Z,43,0
2023-06-01T19:44:42.180Z,2023-06-01T20:44:42.180Z,44,0
2023-06-01T20:44:42.180Z,2023-06-01T21:44:42.180Z,45,0
2023-06-01T21:44:42.180Z,2023-06-01T22:44:42.180Z,46,0
2023-06-01T22:44:42.180Z,2023-06-01T23:44:42.180Z,47,0
2023-06-01T23:44:42.180Z,2023-06-02T00:44:42.180Z,48,0
2023-06-02T00:44:42.180Z,2023-06-02T01:44:42.180Z,49,0
2023-06-02T01:44:42.180Z,2023-06-02T02:44:42.180Z,50,0
2023-06-02T02:44:42.180Z,2023-06-02T03:44:42.180Z,51,1.68
2023-06-02T03:44:42.180Z,2023-06-02T04:44:42.180Z,52,34.02
2023-06-02T04:44:42.180Z,2023-06-02T05:44:42.180Z,53,101.64
2023-06-02T05:44:42.180Z,2023-06-02T06:44:42.180Z,54,175.56
2023-06-02T06:44:42.180Z,2023-06-02T07:44:42.180Z,55,217.56
2023-06-02T07:44:42.180Z,2023-06-02T08:44:42.180Z,56,260.40000000000003
2023-06-02T08:44:42.180Z,2023-06-02T09:44:42.180Z,57,282.24
2023-06-02T09:44:42.180Z,2023-06-02T10:44:42.180Z,58,282.66
2023-06-02T10:44:42.180Z,2023-06-02T11:44:42.180Z,59,249.06
2023-06-02T11:44:42.180Z,2023-06-02T12:44:42.180Z,60,185.22
2023-06-02T12:44:42.180Z,2023-06-02T13:44:42.180Z,61,112.14
2023-06-02T13:44:42.180Z,2023-06-02T14:44:42.180Z,62,43.26
2023-06-02T14:44:42.180Z,2023-06-02T15:44:42.180Z,63,2.1
2023-06-02T15:44:42.180Z,2023-06-02T16:44:42.180Z,64,0
2023-06-02T16:44:42.180Z,2023-06-02T17:44:42.180Z,65,0
2023-06-02T17:44:42.180Z,2023-06-02T18:44:42.180Z,66,0
2023-06-02T18:44:42.180Z,2023-06-02T19:44:42.180Z,67,0
2023-06-02T19:44:42.180Z,2023-06-02T20:44:42.180Z,68,0
2023-06-02T20:44:42.180Z,2023-06-02T21:44:42.180Z,69,0
2023-06-02T21:44:42.180Z,2023-06-02T22:44:42.180Z,70,0
2023-06-02T22:44:42.180Z,2023-06-02T23:44:42.180Z,71,0
2023-06-02T23:44:42.180Z,2023-06-03T00:44:42.180Z,72,0
2023-06-03T00:44:42.180Z,2023-06-03T01:44:42.180Z,73,0
2023-06-03T01:44:42.180Z,2023-06-03T02:44:42.180Z,74,0
2023-06-03T02:44:42.180Z,2023-06-03T03:44:42.180Z,75,2.1
2023-06-03T03:44:42.180Z,2023-06-03T04:44:42.180Z,76,44.1
2023-06-03T04:44:42.180Z,2023-06-03T05:44:42.180Z,77,108.36
2023-06-03T05:44:42.180Z,2023-06-03T06:44:42.180Z,78,189.42
2023-06-03T06:44:42.180Z,2023-06-03T07:44:42.180Z,79,233.10000000000002
2023-06-03T07:44:42.180Z,2023-06-03T08:44:42.180Z,80,263.34
2023-06-03T08:44:42.180Z,2023-06-03T09:44:42.180Z,81,273.84000000000003
2023-06-03T09:44:42.180Z,2023-06-03T10:44:42.180Z,82,244.01999999999998
2023-06-03T10:44:42.180Z,2023-06-03T11:44:42.180Z,83,183.96
2023-06-03T11:44:42.180Z,2023-06-03T12:44:42.180Z,84,138.18
2023-06-03T12:44:42.180Z,2023-06-03T13:44:42.180Z,85,92.82
2023-06-03T13:44:42.180Z,2023-06-03T14:44:42.180Z,86,41.58
