Start Time,End Time,Hour,Power Generation KV
2023-05-31T02:06:13.367Z,2023-05-31T03:06:13.367Z,0,0
2023-05-31T03:06:13.367Z,2023-05-31T04:06:13.367Z,1,0
2023-05-31T04:06:13.367Z,2023-05-31T05:06:13.367Z,2,0
2023-05-31T05:06:13.367Z,2023-05-31T06:06:13.367Z,3,0
2023-05-31T06:06:13.367Z,2023-05-31T07:06:13.367Z,4,0
2023-05-31T07:06:13.367Z,2023-05-31T08:06:13.367Z,5,0
2023-05-31T08:06:13.367Z,2023-05-31T09:06:13.367Z,6,0
2023-05-31T09:06:13.367Z,2023-05-31T10:06:13.367Z,7,0
2023-05-31T10:06:13.367Z,2023-05-31T11:06:13.367Z,8,0
2023-05-31T11:06:13.367Z,2023-05-31T12:06:13.367Z,9,0
2023-05-31T12:06:13.367Z,2023-05-31T13:06:13.367Z,10,0
2023-05-31T13:06:13.367Z,2023-05-31T14:06:13.367Z,11,0
2023-05-31T14:06:13.367Z,2023-05-31T15:06:13.367Z,12,0
2023-05-31T15:06:13.367Z,2023-05-31T16:06:13.367Z,13,0
2023-05-31T16:06:13.367Z,2023-05-31T17:06:13.367Z,14,0
2023-05-31T17:06:13.367Z,2023-05-31T18:06:13.367Z,15,0
2023-05-31T18:06:13.367Z,2023-05-31T19:06:13.367Z,16,0
2023-05-31T19:06:13.367Z,2023-05-31T20:06:13.367Z,17,0
2023-05-31T20:06:13.367Z,2023-05-31T21:06:13.367Z,18,0
2023-05-31T21:06:13.367Z,2023-05-31T22:06:13.367Z,19,0
2023-05-31T22:06:13.367Z,2023-05-31T23:06:13.367Z,20,0
2023-05-31T23:06:13.367Z,2023-06-01T00:06:13.367Z,21,0
2023-06-01T00:06:13.367Z,2023-06-01T01:06:13.367Z,22,0
2023-06-01T01:06:13.367Z,2023-06-01T02:06:13.367Z,23,0
2023-06-01T02:06:13.367Z,2023-06-01T03:06:13.367Z,24,0
2023-06-01T03:06:13.367Z,2023-06-01T04:06:13.367Z,25,0
2023-06-01T04:06:13.367Z,2023-06-01T05:06:13.367Z,26,0
2023-06-01T05:06:13.367Z,2023-06-01T06:06:13.367Z,27,0
2023-06-01T06:06:13.367Z,2023-06-01T07:06:13.367Z,28,0
2023-06-01T07:06:13.367Z,2023-06-01T08:06:13.367Z,29,0
2023-06-01T08:06:13.367Z,2023-06-01T09:06:13.367Z,30,0
2023-06-01T09:06:13.367Z,2023-06-01T10:06:13.367Z,31,0
2023-06-01T10:06:13.367Z,2023-06-01T11:06:13.367Z,32,0
2023-06-01T11:06:13.367Z,2023-06-01T12:06:13.367Z,33,0
2023-06-01T12:06:13.367Z,2023-06-01T13:06:13.367Z,34,0
2023-06-01T13:06:13.367Z,2023-06-01T14:06:13.367Z,35,0
2023-06-01T14:06:13.367Z,2023-06-01T15:06:13.367Z,36,0
2023-06-01T15:06:13.367Z,2023-06-01T16:06:13.367Z,37,0
2023-06-01T16:06:13.367Z,2023-06-01T17:06:13.367Z,38,0
2023-06-01T17:06:13.367Z,2023-06-01T18:06:13.367Z,39,0
2023-06-01T18:06:13.367Z,2023-06-01T19:06:13.367Z,40,0
2023-06-01T19:06:13.367Z,2023-06-01T20:06:13.367Z,41,0
2023-06-01T20:06:13.367Z,2023-06-01T21:06:13.367Z,42,0
2023-06-01T21:06:13.367Z,2023-06-01T22:06:13.367Z,43,0
2023-06-01T22:06:13.367Z,2023-06-01T23:06:13.367Z,44,0
2023-06-01T23:06:13.367Z,2023-06-02T00:06:13.367Z,45,0
2023-06-02T00:06:13.367Z,2023-06-02T01:06:13.367Z,46,0
2023-06-02T01:06:13.367Z,2023-06-02T02:06:13.367Z,47,0
2023-06-02T02:06:13.367Z,2023-06-02T03:06:13.367Z,48,0
2023-06-02T03:06:13.367Z,2023-06-02T04:06:13.367Z,49,0
2023-06-02T04:06:13.367Z,2023-06-02T05:06:13.367Z,50,0
2023-06-02T05:06:13.367Z,2023-06-02T06:06:13.367Z,51,0
2023-06-02T06:06:13.367Z,2023-06-02T07:06:13.367Z,52,0
2023-06-02T07:06:13.367Z,2023-06-02T08:06:13.367Z,53,0
2023-06-02T08:06:13.367Z,2023-06-02T09:06:13.367Z,54,0
2023-06-02T09:06:13.367Z,2023-06-02T10:06:13.367Z,55,0
2023-06-02T10:06:13.367Z,2023-06-02T11:06:13.367Z,56,0
2023-06-02T11:06:13.367Z,2023-06-02T12:06:13.367Z,57,0
2023-06-02T12:06:13.367Z,2023-06-02T13:06:13.367Z,58,0
2023-06-02T13:06:13.367Z,2023-06-02T14:06:13.367Z,59,0
2023-06-02T14:06:13.367Z,2023-06-02T15:06:13.367Z,60,0
2023-06-02T15:06:13.367Z,2023-06-02T16:06:13.367Z,61,0
2023-06-02T16:06:13.367Z,2023-06-02T17:06:13.367Z,62,0
2023-06-02T17:06:13.367Z,2023-06-02T18:06:13.367Z,63,0
2023-06-02T18:06:13.367Z,2023-06-02T19:06:13.367Z,64,0
