Start Time,End Time,Hour,Power Generation KV
2023-05-31T01:59:04.115Z,2023-05-31T02:59:04.115Z,0,0
2023-05-31T02:59:04.115Z,2023-05-31T03:59:04.115Z,1,0
2023-05-31T03:59:04.115Z,2023-05-31T04:59:04.115Z,2,0
2023-05-31T04:59:04.115Z,2023-05-31T05:59:04.115Z,3,0.1
2023-05-31T05:59:04.115Z,2023-05-31T06:59:04.115Z,4,1.8599999999999999
2023-05-31T06:59:04.115Z,2023-05-31T07:59:04.115Z,5,4.82
2023-05-31T07:59:04.115Z,2023-05-31T08:59:04.115Z,6,7.68
2023-05-31T08:59:04.115Z,2023-05-31T09:59:04.115Z,7,9.64
2023-05-31T09:59:04.115Z,2023-05-31T10:59:04.115Z,8,12.16
2023-05-31T10:59:04.115Z,2023-05-31T11:59:04.115Z,9,13.66
2023-05-31T11:59:04.115Z,2023-05-31T12:59:04.115Z,10,12.88
2023-05-31T12:59:04.115Z,2023-05-31T13:59:04.115Z,11,10.58
2023-05-31T13:59:04.115Z,2023-05-31T14:59:04.115Z,12,8.06
2023-05-31T14:59:04.115Z,2023-05-31T15:59:04.115Z,13,4.76
2023-05-31T15:59:04.115Z,2023-05-31T16:59:04.115Z,14,1.92
2023-05-31T16:59:04.115Z,2023-05-31T17:59:04.115Z,15,0.1
2023-05-31T17:59:04.115Z,2023-05-31T18:59:04.115Z,16,0
2023-05-31T18:59:04.115Z,2023-05-31T19:59:04.115Z,17,0
2023-05-31T19:59:04.115Z,2023-05-31T20:59:04.115Z,18,0
2023-05-31T20:59:04.115Z,2023-05-31T21:59:04.115Z,19,0
2023-05-31T21:59:04.115Z,2023-05-31T22:59:04.115Z,20,0
2023-05-31T22:59:04.115Z,2023-05-31T23:59:04.115Z,21,0
2023-05-31T23:59:04.115Z,2023-06-01T00:59:04.115Z,22,0
2023-06-01T00:59:04.115Z,2023-06-01T01:59:04.115Z,23,0
2023-06-01T01:59:04.115Z,2023-06-01T02:59:04.115Z,24,0
2023-06-01T02:59:04.115Z,2023-06-01T03:59:04.115Z,25,0
2023-06-01T03:59:04.115Z,2023-06-01T04:59:04.115Z,26,0
2023-06-01T04:59:04.115Z,2023-06-01T05:59:04.115Z,27,0.12
2023-06-01T05:59:04.115Z,2023-06-01T06:59:04.115Z,28,2.1
2023-06-01T06:59:04.115Z,2023-06-01T07:59:04.115Z,29,5.68
2023-06-01T07:59:04.115Z,2023-06-01T08:59:04.115Z,30,9.120000000000001
2023-06-01T08:59:04.115Z,2023-06-01T09:59:04.115Z,31,11.259999999999998
2023-06-01T09:59:04.115Z,2023-06-01T10:59:04.115Z,32,13.260000000000002
2023-06-01T10:59:04.115Z,2023-06-01T11:59:04.115Z,33,14.78
2023-06-01T11:59:04.115Z,2023-06-01T12:59:04.115Z,34,13.66
2023-06-01T12:59:04.115Z,2023-06-01T13:59:04.115Z,35,11.379999999999999
2023-06-01T13:59:04.115Z,2023-06-01T14:59:04.115Z,36,7.16
2023-06-01T14:59:04.115Z,2023-06-01T15:59:04.115Z,37,2.88
2023-06-01T15:59:04.115Z,2023-06-01T16:59:04.115Z,38,0.74
2023-06-01T16:59:04.115Z,2023-06-01T17:59:04.115Z,39,0.02
2023-06-01T17:59:04.115Z,2023-06-01T18:59:04.115Z,40,0
2023-06-01T18:59:04.115Z,2023-06-01T19:59:04.115Z,41,0
2023-06-01T19:59:04.115Z,2023-06-01T20:59:04.115Z,42,0
2023-06-01T20:59:04.115Z,2023-06-01T21:59:04.115Z,43,0
2023-06-01T21:59:04.115Z,2023-06-01T22:59:04.115Z,44,0
2023-06-01T22:59:04.115Z,2023-06-01T23:59:04.115Z,45,0
2023-06-01T23:59:04.115Z,2023-06-02T00:59:04.115Z,46,0
2023-06-02T00:59:04.115Z,2023-06-02T01:59:04.115Z,47,0
2023-06-02T01:59:04.115Z,2023-06-02T02:59:04.115Z,48,0
2023-06-02T02:59:04.115Z,2023-06-02T03:59:04.115Z,49,0
2023-06-02T03:59:04.115Z,2023-06-02T04:59:04.115Z,50,0
2023-06-02T04:59:04.115Z,2023-06-02T05:59:04.115Z,51,0.08
2023-06-02T05:59:04.115Z,2023-06-02T06:59:04.115Z,52,1.5
2023-06-02T06:59:04.115Z,2023-06-02T07:59:04.115Z,53,4.34
2023-06-02T07:59:04.115Z,2023-06-02T08:59:04.115Z,54,8.06
2023-06-02T08:59:04.115Z,2023-06-02T09:59:04.115Z,55,9.86
2023-06-02T09:59:04.115Z,2023-06-02T10:59:04.115Z,56,11.479999999999999
2023-06-02T10:59:04.115Z,2023-06-02T11:59:04.115Z,57,12.76
2023-06-02T11:59:04.115Z,2023-06-02T12:59:04.115Z,58,12.620000000000001
2023-06-02T12:59:04.115Z,2023-06-02T13:59:04.115Z,59,11.5
2023-06-02T13:59:04.115Z,2023-06-02T14:59:04.115Z,60,8.379999999999999
2023-06-02T14:59:04.115Z,2023-06-02T15:59:04.115Z,61,5.32
