Start Time,End Time,Hour,Power Generation KV
2023-05-31T01:38:27.817Z,2023-05-31T02:38:27.817Z,0,0.44
2023-05-31T02:38:27.817Z,2023-05-31T03:38:27.817Z,1,1.1
2023-05-31T03:38:27.817Z,2023-05-31T04:38:27.817Z,2,1.54
2023-05-31T04:38:27.817Z,2023-05-31T05:38:27.817Z,3,8.36
2023-05-31T05:38:27.817Z,2023-05-31T06:38:27.817Z,4,13.42
2023-05-31T06:38:27.817Z,2023-05-31T07:38:27.817Z,5,30.14
2023-05-31T07:38:27.817Z,2023-05-31T08:38:27.817Z,6,41.580000000000005
2023-05-31T08:38:27.817Z,2023-05-31T09:38:27.817Z,7,26.18
2023-05-31T09:38:27.817Z,2023-05-31T10:38:27.817Z,8,40.260000000000005
2023-05-31T10:38:27.817Z,2023-05-31T11:38:27.817Z,9,65.78
2023-05-31T11:38:27.817Z,2023-05-31T12:38:27.817Z,10,64.67999999999999
2023-05-31T12:38:27.817Z,2023-05-31T13:38:27.817Z,11,71.5
2023-05-31T13:38:27.817Z,2023-05-31T14:38:27.817Z,12,45.099999999999994
2023-05-31T14:38:27.817Z,2023-05-31T15:38:27.817Z,13,34.32
2023-05-31T15:38:27.817Z,2023-05-31T16:38:27.817Z,14,29.48
2023-05-31T16:38:27.817Z,2023-05-31T17:38:27.817Z,15,26.4
2023-05-31T17:38:27.817Z,2023-05-31T18:38:27.817Z,16,16.72
2023-05-31T18:38:27.817Z,2023-05-31T19:38:27.817Z,17,8.8
2023-05-31T19:38:27.817Z,2023-05-31T20:38:27.817Z,18,7.04
2023-05-31T20:38:27.817Z,2023-05-31T21:38:27.817Z,19,3.3
2023-05-31T21:38:27.817Z,2023-05-31T22:38:27.817Z,20,1.3199999999999998
2023-05-31T22:38:27.817Z,2023-05-31T23:38:27.817Z,21,0.44
2023-05-31T23:38:27.817Z,2023-06-01T00:38:27.817Z,22,0.44
2023-06-01T00:38:27.817Z,2023-06-01T01:38:27.817Z,23,0.6599999999999999
2023-06-01T01:38:27.817Z,2023-06-01T02:38:27.817Z,24,1.1
2023-06-01T02:38:27.817Z,2023-06-01T03:38:27.817Z,25,0.88
2023-06-01T03:38:27.817Z,2023-06-01T04:38:27.817Z,26,1.54
2023-06-01T04:38:27.817Z,2023-06-01T05:38:27.817Z,27,4.18
2023-06-01T05:38:27.817Z,2023-06-01T06:38:27.817Z,28,3.3
2023-06-01T06:38:27.817Z,2023-06-01T07:38:27.817Z,29,7.04
2023-06-01T07:38:27.817Z,2023-06-01T08:38:27.817Z,30,17.82
2023-06-01T08:38:27.817Z,2023-06-01T09:38:27.817Z,31,25.959999999999997
2023-06-01T09:38:27.817Z,2023-06-01T10:38:27.817Z,32,25.080000000000002
2023-06-01T10:38:27.817Z,2023-06-01T11:38:27.817Z,33,24.64
2023-06-01T11:38:27.817Z,2023-06-01T12:38:27.817Z,34,55.660000000000004
2023-06-01T12:38:27.817Z,2023-06-01T13:38:27.817Z,35,75.46000000000001
