Start Time,End Time,Hour,Power Generation KV
2023-05-31T00:57:42.048Z,2023-05-31T01:57:42.048Z,0,0
2023-05-31T01:57:42.048Z,2023-05-31T02:57:42.048Z,1,0
2023-05-31T02:57:42.048Z,2023-05-31T03:57:42.048Z,2,0
2023-05-31T03:57:42.048Z,2023-05-31T04:57:42.048Z,3,0.48
2023-05-31T04:57:42.048Z,2023-05-31T05:57:42.048Z,4,14.64
2023-05-31T05:57:42.048Z,2023-05-31T06:57:42.048Z,5,53.28
2023-05-31T06:57:42.048Z,2023-05-31T07:57:42.048Z,6,84.96000000000001
2023-05-31T07:57:42.048Z,2023-05-31T08:57:42.048Z,7,127.20000000000002
2023-05-31T08:57:42.048Z,2023-05-31T09:57:42.048Z,8,152.16
2023-05-31T09:57:42.048Z,2023-05-31T10:57:42.048Z,9,162.72
2023-05-31T10:57:42.048Z,2023-05-31T11:57:42.048Z,10,158.16
2023-05-31T11:57:42.048Z,2023-05-31T12:57:42.048Z,11,136.07999999999998
2023-05-31T12:57:42.048Z,2023-05-31T13:57:42.048Z,12,107.03999999999999
2023-05-31T13:57:42.048Z,2023-05-31T14:57:42.048Z,13,72
2023-05-31T14:57:42.048Z,2023-05-31T15:57:42.048Z,14,31.92
2023-05-31T15:57:42.048Z,2023-05-31T16:57:42.048Z,15,3.12
2023-05-31T16:57:42.048Z,2023-05-31T17:57:42.048Z,16,0
2023-05-31T17:57:42.048Z,2023-05-31T18:57:42.048Z,17,0
2023-05-31T18:57:42.048Z,2023-05-31T19:57:42.048Z,18,0
2023-05-31T19:57:42.048Z,2023-05-31T20:57:42.048Z,19,0
2023-05-31T20:57:42.048Z,2023-05-31T21:57:42.048Z,20,0
2023-05-31T21:57:42.048Z,2023-05-31T22:57:42.048Z,21,0
2023-05-31T22:57:42.048Z,2023-05-31T23:57:42.048Z,22,0
2023-05-31T23:57:42.048Z,2023-06-01T00:57:42.048Z,23,0
2023-06-01T00:57:42.048Z,2023-06-01T01:57:42.048Z,24,0
2023-06-01T01:57:42.048Z,2023-06-01T02:57:42.048Z,25,0
2023-06-01T02:57:42.048Z,2023-06-01T03:57:42.048Z,26,0
2023-06-01T03:57:42.048Z,2023-06-01T04:57:42.048Z,27,0.24
2023-06-01T04:57:42.048Z,2023-06-01T05:57:42.048Z,28,13.440000000000001
2023-06-01T05:57:42.048Z,2023-06-01T06:57:42.048Z,29,48
2023-06-01T06:57:42.048Z,2023-06-01T07:57:42.048Z,30,85.19999999999999
2023-06-01T07:57:42.048Z,2023-06-01T08:57:42.048Z,31,117.84
2023-06-01T08:57:42.048Z,2023-06-01T09:57:42.048Z,32,139.67999999999998
2023-06-01T09:57:42.048Z,2023-06-01T10:57:42.048Z,33,155.28000000000003
2023-06-01T10:57:42.048Z,2023-06-01T11:57:42.048Z,34,156.96
2023-06-01T11:57:42.048Z,2023-06-01T12:57:42.048Z,35,135.35999999999999
2023-06-01T12:57:42.048Z,2023-06-01T13:57:42.048Z,36,108.72
2023-06-01T13:57:42.048Z,2023-06-01T14:57:42.048Z,37,64.32000000000001
2023-06-01T14:57:42.048Z,2023-06-01T15:57:42.048Z,38,26.160000000000004
2023-06-01T15:57:42.048Z,2023-06-01T16:57:42.048Z,39,2.4000000000000004
2023-06-01T16:57:42.048Z,2023-06-01T17:57:42.048Z,40,0
2023-06-01T17:57:42.048Z,2023-06-01T18:57:42.048Z,41,0
2023-06-01T18:57:42.048Z,2023-06-01T19:57:42.048Z,42,0
2023-06-01T19:57:42.048Z,2023-06-01T20:57:42.048Z,43,0
2023-06-01T20:57:42.048Z,2023-06-01T21:57:42.048Z,44,0
2023-06-01T21:57:42.048Z,2023-06-01T22:57:42.048Z,45,0
2023-06-01T22:57:42.048Z,2023-06-01T23:57:42.048Z,46,0
2023-06-01T23:57:42.048Z,2023-06-02T00:57:42.048Z,47,0
2023-06-02T00:57:42.048Z,2023-06-02T01:57:42.048Z,48,0
2023-06-02T01:57:42.048Z,2023-06-02T02:57:42.048Z,49,0
2023-06-02T02:57:42.048Z,2023-06-02T03:57:42.048Z,50,0
2023-06-02T03:57:42.048Z,2023-06-02T04:57:42.048Z,51,0.24
2023-06-02T04:57:42.048Z,2023-06-02T05:57:42.048Z,52,7.4399999999999995
2023-06-02T05:57:42.048Z,2023-06-02T06:57:42.048Z,53,38.400000000000006
2023-06-02T06:57:42.048Z,2023-06-02T07:57:42.048Z,54,75.12
2023-06-02T07:57:42.048Z,2023-06-02T08:57:42.048Z,55,130.8
2023-06-02T08:57:42.048Z,2023-06-02T09:57:42.048Z,56,153.84
2023-06-02T09:57:42.048Z,2023-06-02T10:57:42.048Z,57,165.83999999999997
2023-06-02T10:57:42.048Z,2023-06-02T11:57:42.048Z,58,152.88
2023-06-02T11:57:42.048Z,2023-06-02T12:57:42.048Z,59,128.88
2023-06-02T12:57:42.048Z,2023-06-02T13:57:42.048Z,60,97.92
2023-06-02T13:57:42.048Z,2023-06-02T14:57:42.048Z,61,64.08
2023-06-02T14:57:42.048Z,2023-06-02T15:57:42.048Z,62,27.360000000000003
2023-06-02T15:57:42.048Z,2023-06-02T16:57:42.048Z,63,2.6399999999999997
2023-06-02T16:57:42.048Z,2023-06-02T17:57:42.048Z,64,0
2023-06-02T17:57:42.048Z,2023-06-02T18:57:42.048Z,65,0
2023-06-02T18:57:42.048Z,2023-06-02T19:57:42.048Z,66,0
2023-06-02T19:57:42.048Z,2023-06-02T20:57:42.048Z,67,0
2023-06-02T20:57:42.048Z,2023-06-02T21:57:42.048Z,68,0
2023-06-02T21:57:42.048Z,2023-06-02T22:57:42.048Z,69,0
2023-06-02T22:57:42.048Z,2023-06-02T23:57:42.048Z,70,0
2023-06-02T23:57:42.048Z,2023-06-03T00:57:42.048Z,71,0
2023-06-03T00:57:42.048Z,2023-06-03T01:57:42.048Z,72,0
2023-06-03T01:57:42.048Z,2023-06-03T02:57:42.048Z,73,0
2023-06-03T02:57:42.048Z,2023-06-03T03:57:42.048Z,74,0
2023-06-03T03:57:42.048Z,2023-06-03T04:57:42.048Z,75,0.48
2023-06-03T04:57:42.048Z,2023-06-03T05:57:42.048Z,76,15.36
2023-06-03T05:57:42.048Z,2023-06-03T06:57:42.048Z,77,49.67999999999999
2023-06-03T06:57:42.048Z,2023-06-03T07:57:42.048Z,78,81.12
2023-06-03T07:57:42.048Z,2023-06-03T08:57:42.048Z,79,107.52000000000001
2023-06-03T08:57:42.048Z,2023-06-03T09:57:42.048Z,80,133.20000000000002
2023-06-03T09:57:42.048Z,2023-06-03T10:57:42.048Z,81,139.2
2023-06-03T10:57:42.048Z,2023-06-03T11:57:42.048Z,82,137.03999999999996
2023-06-03T11:57:42.048Z,2023-06-03T12:57:42.048Z,83,131.76
2023-06-03T12:57:42.048Z,2023-06-03T13:57:42.048Z,84,100.55999999999999
2023-06-03T13:57:42.048Z,2023-06-03T14:57:42.048Z,85,73.44
2023-06-03T14:57:42.048Z,2023-06-03T15:57:42.048Z,86,27.6
2023-06-03T15:57:42.048Z,2023-06-03T16:57:42.048Z,87,2.16
2023-06-03T16:57:42.048Z,2023-06-03T17:57:42.048Z,88,0
2023-06-03T17:57:42.048Z,2023-06-03T18:57:42.048Z,89,0
2023-06-03T18:57:42.048Z,2023-06-03T19:57:42.048Z,90,0
2023-06-03T19:57:42.048Z,2023-06-03T20:57:42.048Z,91,0
2023-06-03T20:57:42.048Z,2023-06-03T21:57:42.048Z,92,0
2023-06-03T21:57:42.048Z,2023-06-03T22:57:42.048Z,93,0
2023-06-03T22:57:42.048Z,2023-06-03T23:57:42.048Z,94,0
2023-06-03T23:57:42.048Z,2023-06-04T00:57:42.048Z,95,0
2023-06-04T00:57:42.048Z,2023-06-04T01:57:42.048Z,96,0
2023-06-04T01:57:42.048Z,2023-06-04T02:57:42.048Z,97,0
2023-06-04T02:57:42.048Z,2023-06-04T03:57:42.048Z,98,0
2023-06-04T03:57:42.048Z,2023-06-04T04:57:42.048Z,99,0.24
