Start Time,End Time,Hour,Power Generation KV
2023-05-30T23:41:04.376Z,2023-05-31T00:41:04.376Z,0,0
2023-05-31T00:41:04.376Z,2023-05-31T01:41:04.376Z,1,0
2023-05-31T01:41:04.376Z,2023-05-31T02:41:04.376Z,2,0
2023-05-31T02:41:04.376Z,2023-05-31T03:41:04.376Z,3,2.1
2023-05-31T03:41:04.376Z,2023-05-31T04:41:04.376Z,4,39.059999999999995
2023-05-31T04:41:04.376Z,2023-05-31T05:41:04.376Z,5,99.11999999999999
2023-05-31T05:41:04.376Z,2023-05-31T06:41:04.376Z,6,166.32
2023-05-31T06:41:04.376Z,2023-05-31T07:41:04.376Z,7,208.32
2023-05-31T07:41:04.376Z,2023-05-31T08:41:04.376Z,8,256.2
2023-05-31T08:41:04.376Z,2023-05-31T09:41:04.376Z,9,265.44
2023-05-31T09:41:04.376Z,2023-05-31T10:41:04.376Z,10,285.18000000000006
2023-05-31T10:41:04.376Z,2023-05-31T11:41:04.376Z,11,233.10000000000002
2023-05-31T11:41:04.376Z,2023-05-31T12:41:04.376Z,12,175.98
2023-05-31T12:41:04.376Z,2023-05-31T13:41:04.376Z,13,107.94000000000001
2023-05-31T13:41:04.376Z,2023-05-31T14:41:04.376Z,14,42.42
2023-05-31T14:41:04.376Z,2023-05-31T15:41:04.376Z,15,2.1
2023-05-31T15:41:04.376Z,2023-05-31T16:41:04.376Z,16,0
2023-05-31T16:41:04.376Z,2023-05-31T17:41:04.376Z,17,0
2023-05-31T17:41:04.376Z,2023-05-31T18:41:04.376Z,18,0
2023-05-31T18:41:04.376Z,2023-05-31T19:41:04.376Z,19,0
2023-05-31T19:41:04.376Z,2023-05-31T20:41:04.376Z,20,0
2023-05-31T20:41:04.376Z,2023-05-31T21:41:04.376Z,21,0
2023-05-31T21:41:04.376Z,2023-05-31T22:41:04.376Z,22,0
2023-05-31T22:41:04.376Z,2023-05-31T23:41:04.376Z,23,0
2023-05-31T23:41:04.376Z,2023-06-01T00:41:04.376Z,24,0
2023-06-01T00:41:04.376Z,2023-06-01T01:41:04.376Z,25,0
2023-06-01T01:41:04.376Z,2023-06-01T02:41:04.376Z,26,0
2023-06-01T02:41:04.376Z,2023-06-01T03:41:04.376Z,27,2.1
2023-06-01T03:41:04.376Z,2023-06-01T04:41:04.376Z,28,41.16
2023-06-01T04:41:04.376Z,2023-06-01T05:41:04.376Z,29,118.02000000000002
2023-06-01T05:41:04.376Z,2023-06-01T06:41:04.376Z,30,193.62
2023-06-01T06:41:04.376Z,2023-06-01T07:41:04.376Z,31,236.88
2023-06-01T07:41:04.376Z,2023-06-01T08:41:04.376Z,32,271.74
2023-06-01T08:41:04.376Z,2023-06-01T09:41:04.376Z,33,293.15999999999997
2023-06-01T09:41:04.376Z,2023-06-01T10:41:04.376Z,34,281.40000000000003
2023-06-01T10:41:04.376Z,2023-06-01T11:41:04.376Z,35,214.2
2023-06-01T11:41:04.376Z,2023-06-01T12:41:04.376Z,36,132.72
2023-06-01T12:41:04.376Z,2023-06-01T13:41:04.376Z,37,66.36
