Start Time,End Time,Hour,Power Generation KV
2023-05-31T01:56:17.488Z,2023-05-31T02:56:17.488Z,0,0
2023-05-31T02:56:17.488Z,2023-05-31T03:56:17.488Z,1,0
2023-05-31T03:56:17.488Z,2023-05-31T04:56:17.488Z,2,0
2023-05-31T04:56:17.488Z,2023-05-31T05:56:17.488Z,3,0.72
2023-05-31T05:56:17.488Z,2023-05-31T06:56:17.488Z,4,16.080000000000002
2023-05-31T06:56:17.488Z,2023-05-31T07:56:17.488Z,5,48.96
2023-05-31T07:56:17.488Z,2023-05-31T08:56:17.488Z,6,75.84
2023-05-31T08:56:17.488Z,2023-05-31T09:56:17.488Z,7,114.96000000000001
2023-05-31T09:56:17.488Z,2023-05-31T10:56:17.488Z,8,119.76
2023-05-31T10:56:17.488Z,2023-05-31T11:56:17.488Z,9,130.8
2023-05-31T11:56:17.488Z,2023-05-31T12:56:17.488Z,10,122.88
2023-05-31T12:56:17.488Z,2023-05-31T13:56:17.488Z,11,104.16
2023-05-31T13:56:17.488Z,2023-05-31T14:56:17.488Z,12,75.36
2023-05-31T14:56:17.488Z,2023-05-31T15:56:17.488Z,13,44.88
2023-05-31T15:56:17.488Z,2023-05-31T16:56:17.488Z,14,12.48
2023-05-31T16:56:17.488Z,2023-05-31T17:56:17.488Z,15,0
2023-05-31T17:56:17.488Z,2023-05-31T18:56:17.488Z,16,0
2023-05-31T18:56:17.488Z,2023-05-31T19:56:17.488Z,17,0
2023-05-31T19:56:17.488Z,2023-05-31T20:56:17.488Z,18,0
2023-05-31T20:56:17.488Z,2023-05-31T21:56:17.488Z,19,0
2023-05-31T21:56:17.488Z,2023-05-31T22:56:17.488Z,20,0
2023-05-31T22:56:17.488Z,2023-05-31T23:56:17.488Z,21,0
2023-05-31T23:56:17.488Z,2023-06-01T00:56:17.488Z,22,0
2023-06-01T00:56:17.488Z,2023-06-01T01:56:17.488Z,23,0
2023-06-01T01:56:17.488Z,2023-06-01T02:56:17.488Z,24,0
2023-06-01T02:56:17.488Z,2023-06-01T03:56:17.488Z,25,0
2023-06-01T03:56:17.488Z,2023-06-01T04:56:17.488Z,26,0
