Start Time,End Time,Hour,Power Generation KV
2023-05-31T01:48:00.399Z,2023-05-31T02:48:00.399Z,0,0
2023-05-31T02:48:00.399Z,2023-05-31T03:48:00.399Z,1,0
2023-05-31T03:48:00.399Z,2023-05-31T04:48:00.399Z,2,0
2023-05-31T04:48:00.399Z,2023-05-31T05:48:00.399Z,3,0.1
2023-05-31T05:48:00.399Z,2023-05-31T06:48:00.399Z,4,1.8599999999999999
2023-05-31T06:48:00.399Z,2023-05-31T07:48:00.399Z,5,4.82
2023-05-31T07:48:00.399Z,2023-05-31T08:48:00.399Z,6,7.68
2023-05-31T08:48:00.399Z,2023-05-31T09:48:00.399Z,7,9.64
2023-05-31T09:48:00.399Z,2023-05-31T10:48:00.399Z,8,12.16
2023-05-31T10:48:00.399Z,2023-05-31T11:48:00.399Z,9,13.66
2023-05-31T11:48:00.399Z,2023-05-31T12:48:00.399Z,10,12.88
2023-05-31T12:48:00.399Z,2023-05-31T13:48:00.399Z,11,10.58
2023-05-31T13:48:00.399Z,2023-05-31T14:48:00.399Z,12,8.06
2023-05-31T14:48:00.399Z,2023-05-31T15:48:00.399Z,13,4.76
2023-05-31T15:48:00.399Z,2023-05-31T16:48:00.399Z,14,1.92
2023-05-31T16:48:00.399Z,2023-05-31T17:48:00.399Z,15,0.1
2023-05-31T17:48:00.399Z,2023-05-31T18:48:00.399Z,16,0
2023-05-31T18:48:00.399Z,2023-05-31T19:48:00.399Z,17,0
2023-05-31T19:48:00.399Z,2023-05-31T20:48:00.399Z,18,0
2023-05-31T20:48:00.399Z,2023-05-31T21:48:00.399Z,19,0
2023-05-31T21:48:00.399Z,2023-05-31T22:48:00.399Z,20,0
2023-05-31T22:48:00.399Z,2023-05-31T23:48:00.399Z,21,0
2023-05-31T23:48:00.399Z,2023-06-01T00:48:00.399Z,22,0
2023-06-01T00:48:00.399Z,2023-06-01T01:48:00.399Z,23,0
2023-06-01T01:48:00.399Z,2023-06-01T02:48:00.399Z,24,0
2023-06-01T02:48:00.399Z,2023-06-01T03:48:00.399Z,25,0
2023-06-01T03:48:00.399Z,2023-06-01T04:48:00.399Z,26,0
2023-06-01T04:48:00.399Z,2023-06-01T05:48:00.399Z,27,0.12
2023-06-01T05:48:00.399Z,2023-06-01T06:48:00.399Z,28,2.1
2023-06-01T06:48:00.399Z,2023-06-01T07:48:00.399Z,29,5.68
2023-06-01T07:48:00.399Z,2023-06-01T08:48:00.399Z,30,9.120000000000001
2023-06-01T08:48:00.399Z,2023-06-01T09:48:00.399Z,31,11.259999999999998
2023-06-01T09:48:00.399Z,2023-06-01T10:48:00.399Z,32,13.260000000000002
2023-06-01T10:48:00.399Z,2023-06-01T11:48:00.399Z,33,14.78
2023-06-01T11:48:00.399Z,2023-06-01T12:48:00.399Z,34,13.66
2023-06-01T12:48:00.399Z,2023-06-01T13:48:00.399Z,35,11.379999999999999
2023-06-01T13:48:00.399Z,2023-06-01T14:48:00.399Z,36,7.16
2023-06-01T14:48:00.399Z,2023-06-01T15:48:00.399Z,37,2.88
2023-06-01T15:48:00.399Z,2023-06-01T16:48:00.399Z,38,0.74
2023-06-01T16:48:00.399Z,2023-06-01T17:48:00.399Z,39,0.02
2023-06-01T17:48:00.399Z,2023-06-01T18:48:00.399Z,40,0
2023-06-01T18:48:00.399Z,2023-06-01T19:48:00.399Z,41,0
2023-06-01T19:48:00.399Z,2023-06-01T20:48:00.399Z,42,0
2023-06-01T20:48:00.399Z,2023-06-01T21:48:00.399Z,43,0
2023-06-01T21:48:00.399Z,2023-06-01T22:48:00.399Z,44,0
2023-06-01T22:48:00.399Z,2023-06-01T23:48:00.399Z,45,0
2023-06-01T23:48:00.399Z,2023-06-02T00:48:00.399Z,46,0
2023-06-02T00:48:00.399Z,2023-06-02T01:48:00.399Z,47,0
